Index,Feature Used,Num of Audio Features,Num of Features,Best F1 mean,Best F1 score,Best Machine Learning Model
83,"Spectral Spread,Spectral Flux,Chroma Vector,Chroma Deviation",4,30,0.574898785425,0.307692307692(0.842105263158),AB(All)
84,"Spectral Spread,Spectral Flux,MFCCs",3,30,0.533333333333,0.266666666667(0.8),AB(All)
85,"Spectral Spread,Spectral Flux,MFCCs,Chroma Deviation",4,32,0.514637904468,0.181818181818(0.847457627119),AB(All)
86,"Spectral Spread,Spectral Flux,MFCCs,Chroma Vector",4,54,0,0.0(0.888888888889),GP-DP(All)
87,"Spectral Spread,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.480431848853,0.153846153846(0.80701754386),AB(All)
88,"Spectral Spread,Spectral Flux,Spectral Rolloff",3,6,0,0.0(0.888888888889),GP-DP(All)
89,"Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Deviation",4,8,0.497126436782,0.166666666667(0.827586206897),AB(All)
90,"Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector",4,30,0.480431848853,0.153846153846(0.80701754386),AB(All)
91,"Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0.514637904468,0.181818181818(0.847457627119),AB(All)
92,"Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs",4,32,0.533333333333,0.2(0.866666666667),AB(All)
93,"Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0.464285714286,0.142857142857(0.785714285714),AB(All)
94,"Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.553734061931,0.222222222222(0.885245901639),AB(All)
95,"Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.553571428571,0.285714285714(0.821428571429),AB(All)
96,"Spectral Spread,Spectral Entropy",2,4,0.514637904468,0.181818181818(0.847457627119),AB(All)
97,"Spectral Spread,Spectral Entropy,Chroma Deviation",3,6,0.618181818182,0.4(0.836363636364),AB(All)
98,"Spectral Spread,Spectral Entropy,Chroma Vector",3,28,0.514637904468,0.181818181818(0.847457627119),AB(All)
99,"Spectral Spread,Spectral Entropy,Chroma Vector,Chroma Deviation",4,30,0.497126436782,0.166666666667(0.827586206897),AB(All)
100,"Spectral Spread,Spectral Entropy,MFCCs",3,30,0.480431848853,0.153846153846(0.80701754386),AB(All)
101,"Spectral Spread,Spectral Entropy,MFCCs,Chroma Deviation",4,32,0.533333333333,0.266666666667(0.8),AB(All)
102,"Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector",4,54,0.533333333333,0.266666666667(0.8),AB(All)
103,"Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.513888888889,0.25(0.777777777778),AB(All)
104,"Spectral Spread,Spectral Entropy,Spectral Rolloff",3,6,0,0.0(0.888888888889),GP-DP(All)
105,"Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Deviation",4,8,0,0.0(0.888888888889),GP-DP(All)
106,"Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector",4,30,0.533333333333,0.2(0.866666666667),AB(All)
107,"Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0.497126436782,0.166666666667(0.827586206897),AB(All)
108,"Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs",4,32,0.553734061931,0.222222222222(0.885245901639),AB(All)
109,"Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0.62249614792,0.363636363636(0.881355932203),AB(All)
110,"Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.514637904468,0.181818181818(0.847457627119),AB(All)
111,"Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0,0.0(0.888888888889),GP-DP(All)
112,"Spectral Spread,Spectral Entropy,Spectral Flux",3,6,0.480431848853,0.153846153846(0.80701754386),AB(All)
113,"Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Deviation",4,8,0.480431848853,0.153846153846(0.80701754386),AB(All)
114,"Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector",4,30,0.533333333333,0.2(0.866666666667),AB(All)
115,"Spectral Spread,Spectral Entropy,Spectral Flux,Chroma Vector,Chroma Deviation",5,32,0.464285714286,0.142857142857(0.785714285714),AB(All)
116,"Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs",4,32,0.533333333333,0.266666666667(0.8),AB(All)
117,"Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",5,34,0.62249614792,0.363636363636(0.881355932203),AB(All)
118,"Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",5,56,0.574898785425,0.307692307692(0.842105263158),AB(All)
119,"Spectral Spread,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.448484848485,0.133333333333(0.763636363636),AB(All)
120,"Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff",4,8,0.533333333333,0.2(0.866666666667),AB(All)
121,"Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",5,10,0,0.0(0.888888888889),GP-DP(All)
122,"Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",5,32,0.497126436782,0.166666666667(0.827586206897),AB(All)
123,"Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.497126436782,0.166666666667(0.827586206897),AB(All)
124,"Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",5,34,0.553734061931,0.222222222222(0.885245901639),AB(All)
125,"Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0.597701149425,0.333333333333(0.862068965517),AB(All)
126,"Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",6,58,0.65,0.4(0.9),AB(All)
127,"Spectral Spread,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.553571428571,0.285714285714(0.821428571429),AB(All)
128,Spectral Centroid,1,2,0.514637904468,0.181818181818(0.847457627119),AB(All)
129,"Spectral Centroid,Chroma Deviation",2,4,0.553571428571,0.285714285714(0.821428571429),AB(All)
130,"Spectral Centroid,Chroma Vector",2,26,0.553734061931,0.222222222222(0.885245901639),AB(All)
131,"Spectral Centroid,Chroma Vector,Chroma Deviation",3,28,0.553734061931,0.222222222222(0.885245901639),KNN(All)
132,"Spectral Centroid,MFCCs",2,28,0.514637904468,0.181818181818(0.847457627119),AB(All)
133,"Spectral Centroid,MFCCs,Chroma Deviation",3,30,0,0.0(0.888888888889),GP-DP(All)
134,"Spectral Centroid,MFCCs,Chroma Vector",3,52,0,0.0(0.888888888889),GP-DP(All)
135,"Spectral Centroid,MFCCs,Chroma Vector,Chroma Deviation",4,54,0.476495726496,0.222222222222(0.730769230769),AB(All)
136,"Spectral Centroid,Spectral Rolloff",2,4,0,0.0(0.888888888889),GP-DP(All)
137,"Spectral Centroid,Spectral Rolloff,Chroma Deviation",3,6,0,0.0(0.888888888889),GP-DP(All)
138,"Spectral Centroid,Spectral Rolloff,Chroma Vector",3,28,0.480431848853,0.153846153846(0.80701754386),AB(All)
139,"Spectral Centroid,Spectral Rolloff,Chroma Vector,Chroma Deviation",4,30,0.514637904468,0.181818181818(0.847457627119),AB(All)
140,"Spectral Centroid,Spectral Rolloff,MFCCs",3,30,0.62249614792,0.363636363636(0.881355932203),AB(All)
141,"Spectral Centroid,Spectral Rolloff,MFCCs,Chroma Deviation",4,32,0.533333333333,0.2(0.866666666667),AB(All)
142,"Spectral Centroid,Spectral Rolloff,MFCCs,Chroma Vector",4,54,0.497126436782,0.166666666667(0.827586206897),AB(All)
143,"Spectral Centroid,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.533333333333,0.2(0.866666666667),AB(All)
144,"Spectral Centroid,Spectral Flux",2,4,0.597701149425,0.333333333333(0.862068965517),AB(All)
145,"Spectral Centroid,Spectral Flux,Chroma Deviation",3,6,0.574898785425,0.307692307692(0.842105263158),AB(All)
146,"Spectral Centroid,Spectral Flux,Chroma Vector",3,28,0.553734061931,0.222222222222(0.885245901639),KNN(All)
147,"Spectral Centroid,Spectral Flux,Chroma Vector,Chroma Deviation",4,30,0.553734061931,0.222222222222(0.885245901639),KNN(All)
148,"Spectral Centroid,Spectral Flux,MFCCs",3,30,0,0.0(0.888888888889),GP-DP(All)
149,"Spectral Centroid,Spectral Flux,MFCCs,Chroma Deviation",4,32,0,0.0(0.888888888889),GP-DP(All)
150,"Spectral Centroid,Spectral Flux,MFCCs,Chroma Vector",4,54,0,0.0(0.888888888889),GP-DP(All)
151,"Spectral Centroid,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.464285714286,0.142857142857(0.785714285714),AB(All)
152,"Spectral Centroid,Spectral Flux,Spectral Rolloff",3,6,0.514637904468,0.181818181818(0.847457627119),AB(All)
153,"Spectral Centroid,Spectral Flux,Spectral Rolloff,Chroma Deviation",4,8,0,0.0(0.888888888889),GP-DP(All)
154,"Spectral Centroid,Spectral Flux,Spectral Rolloff,Chroma Vector",4,30,0,0.0(0.888888888889),GP-DP(All)
155,"Spectral Centroid,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0.514637904468,0.181818181818(0.847457627119),AB(All)
156,"Spectral Centroid,Spectral Flux,Spectral Rolloff,MFCCs",4,32,0.533333333333,0.2(0.866666666667),AB(All)
157,"Spectral Centroid,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0,0.0(0.888888888889),GP-DP(All)
158,"Spectral Centroid,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.597701149425,0.333333333333(0.862068965517),AB(All)
159,"Spectral Centroid,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0,0.0(0.888888888889),GP-DP(All)
160,"Spectral Centroid,Spectral Entropy",2,4,0.533333333333,0.2(0.866666666667),AB(All)
161,"Spectral Centroid,Spectral Entropy,Chroma Deviation",3,6,0.618181818182,0.4(0.836363636364),AB(All)
162,"Spectral Centroid,Spectral Entropy,Chroma Vector",3,28,0.533333333333,0.2(0.866666666667),AB(All)
163,"Spectral Centroid,Spectral Entropy,Chroma Vector,Chroma Deviation",4,30,0.497126436782,0.166666666667(0.827586206897),AB(All)
164,"Spectral Centroid,Spectral Entropy,MFCCs",3,30,0.464285714286,0.142857142857(0.785714285714),AB(All)
165,"Spectral Centroid,Spectral Entropy,MFCCs,Chroma Deviation",4,32,0.533333333333,0.266666666667(0.8),AB(All)
166,"Spectral Centroid,Spectral Entropy,MFCCs,Chroma Vector",4,54,0,0.0(0.888888888889),GP-DP(All)
167,"Spectral Centroid,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.513888888889,0.25(0.777777777778),AB(All)
168,"Spectral Centroid,Spectral Entropy,Spectral Rolloff",3,6,0.514637904468,0.181818181818(0.847457627119),AB(All)
169,"Spectral Centroid,Spectral Entropy,Spectral Rolloff,Chroma Deviation",4,8,0.597701149425,0.333333333333(0.862068965517),AB(All)
170,"Spectral Centroid,Spectral Entropy,Spectral Rolloff,Chroma Vector",4,30,0.533333333333,0.2(0.866666666667),AB(All)
171,"Spectral Centroid,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0,0.0(0.888888888889),GP-DP(All)
172,"Spectral Centroid,Spectral Entropy,Spectral Rolloff,MFCCs",4,32,0.533333333333,0.2(0.866666666667),AB(All)
173,"Spectral Centroid,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0.65,0.4(0.9),AB(All)
174,"Spectral Centroid,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.574898785425,0.307692307692(0.842105263158),AB(All)
175,"Spectral Centroid,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.533333333333,0.2(0.866666666667),AB(All)
176,"Spectral Centroid,Spectral Entropy,Spectral Flux",3,6,0.574898785425,0.307692307692(0.842105263158),AB(All)
177,"Spectral Centroid,Spectral Entropy,Spectral Flux,Chroma Deviation",4,8,0.480431848853,0.153846153846(0.80701754386),AB(All)
178,"Spectral Centroid,Spectral Entropy,Spectral Flux,Chroma Vector",4,30,0.514637904468,0.181818181818(0.847457627119),AB(All)
179,"Spectral Centroid,Spectral Entropy,Spectral Flux,Chroma Vector,Chroma Deviation",5,32,0.480431848853,0.153846153846(0.80701754386),AB(All)
180,"Spectral Centroid,Spectral Entropy,Spectral Flux,MFCCs",4,32,0,0.0(0.888888888889),GP-DP(All)
181,"Spectral Centroid,Spectral Entropy,Spectral Flux,MFCCs,Chroma Deviation",5,34,0.514637904468,0.181818181818(0.847457627119),AB(All)
182,"Spectral Centroid,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector",5,56,0,0.0(0.888888888889),GP-DP(All)
183,"Spectral Centroid,Spectral Entropy,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.497126436782,0.166666666667(0.827586206897),AB(All)
184,"Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff",4,8,0.62249614792,0.363636363636(0.881355932203),AB(All)
185,"Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Deviation",5,10,0.497126436782,0.166666666667(0.827586206897),AB(All)
186,"Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector",5,32,0.480431848853,0.153846153846(0.80701754386),AB(All)
187,"Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.464285714286,0.142857142857(0.785714285714),AB(All)
188,"Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs",5,34,0.533333333333,0.2(0.866666666667),AB(All)
189,"Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0,0.0(0.888888888889),GP-DP(All)
190,"Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",6,58,0.497126436782,0.166666666667(0.827586206897),AB(All)
191,"Spectral Centroid,Spectral Entropy,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,60,0,0.0(0.888888888889),GP-DP(All)
192,"Spectral Centroid,Spectral Spread",2,4,0.732142857143,0.571428571429(0.892857142857),AB(All)
193,"Spectral Centroid,Spectral Spread,Chroma Deviation",3,6,0.787878787879,0.666666666667(0.909090909091),AB(All)
194,"Spectral Centroid,Spectral Spread,Chroma Vector",3,28,0.497126436782,0.166666666667(0.827586206897),AB(All)
195,"Spectral Centroid,Spectral Spread,Chroma Vector,Chroma Deviation",4,30,0.514637904468,0.181818181818(0.847457627119),AB(All)
196,"Spectral Centroid,Spectral Spread,MFCCs",3,30,0.553734061931,0.222222222222(0.885245901639),AB(All)
197,"Spectral Centroid,Spectral Spread,MFCCs,Chroma Deviation",4,32,0.62249614792,0.363636363636(0.881355932203),AB(All)
198,"Spectral Centroid,Spectral Spread,MFCCs,Chroma Vector",4,54,0.597701149425,0.333333333333(0.862068965517),AB(All)
199,"Spectral Centroid,Spectral Spread,MFCCs,Chroma Vector,Chroma Deviation",5,56,0.514637904468,0.181818181818(0.847457627119),AB(All)
200,"Spectral Centroid,Spectral Spread,Spectral Rolloff",3,6,0.574898785425,0.307692307692(0.842105263158),AB(All)
201,"Spectral Centroid,Spectral Spread,Spectral Rolloff,Chroma Deviation",4,8,0,0.0(0.888888888889),GP-DP(All)
202,"Spectral Centroid,Spectral Spread,Spectral Rolloff,Chroma Vector",4,30,0.514637904468,0.181818181818(0.847457627119),AB(All)
203,"Spectral Centroid,Spectral Spread,Spectral Rolloff,Chroma Vector,Chroma Deviation",5,32,0.514637904468,0.181818181818(0.847457627119),AB(All)
204,"Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs",4,32,0.597701149425,0.333333333333(0.862068965517),AB(All)
205,"Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Deviation",5,34,0.597701149425,0.333333333333(0.862068965517),AB(All)
206,"Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Vector",5,56,0.497126436782,0.166666666667(0.827586206897),AB(All)
207,"Spectral Centroid,Spectral Spread,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.533333333333,0.2(0.866666666667),AB(All)
208,"Spectral Centroid,Spectral Spread,Spectral Flux",3,6,0.798850574713,0.666666666667(0.931034482759),AB(All)
209,"Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Deviation",4,8,0.698275862069,0.5(0.896551724138),AB(All)
210,"Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Vector",4,30,0.514637904468,0.181818181818(0.847457627119),AB(All)
211,"Spectral Centroid,Spectral Spread,Spectral Flux,Chroma Vector,Chroma Deviation",5,32,0.480431848853,0.153846153846(0.80701754386),AB(All)
212,"Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs",4,32,0.497126436782,0.166666666667(0.827586206897),AB(All)
213,"Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Deviation",5,34,0.62249614792,0.363636363636(0.881355932203),AB(All)
214,"Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Vector",5,56,0.497126436782,0.166666666667(0.827586206897),AB(All)
215,"Spectral Centroid,Spectral Spread,Spectral Flux,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.480431848853,0.153846153846(0.80701754386),AB(All)
216,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff",4,8,0.514637904468,0.181818181818(0.847457627119),AB(All)
217,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Deviation",5,10,0.62249614792,0.363636363636(0.881355932203),AB(All)
218,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector",5,32,0.514637904468,0.181818181818(0.847457627119),AB(All)
219,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.514637904468,0.181818181818(0.847457627119),AB(All)
220,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs",5,34,0.553734061931,0.222222222222(0.885245901639),AB(All)
221,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0,0.0(0.888888888889),GP-DP(All)
222,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector",6,58,0.514637904468,0.181818181818(0.847457627119),AB(All)
223,"Spectral Centroid,Spectral Spread,Spectral Flux,Spectral Rolloff,MFCCs,Chroma Vector,Chroma Deviation",7,60,0.553571428571,0.285714285714(0.821428571429),AB(All)
224,"Spectral Centroid,Spectral Spread,Spectral Entropy",3,6,0.70303030303,0.533333333333(0.872727272727),AB(All)
225,"Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Deviation",4,8,0.574898785425,0.307692307692(0.842105263158),AB(All)
226,"Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Vector",4,30,0.514637904468,0.181818181818(0.847457627119),AB(All)
227,"Spectral Centroid,Spectral Spread,Spectral Entropy,Chroma Vector,Chroma Deviation",5,32,0.497126436782,0.166666666667(0.827586206897),AB(All)
228,"Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs",4,32,0,0.0(0.888888888889),GP-DP(All)
229,"Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Deviation",5,34,0.553571428571,0.285714285714(0.821428571429),AB(All)
230,"Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector",5,56,0.574898785425,0.307692307692(0.842105263158),AB(All)
231,"Spectral Centroid,Spectral Spread,Spectral Entropy,MFCCs,Chroma Vector,Chroma Deviation",6,58,0.62249614792,0.363636363636(0.881355932203),AB(All)
232,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff",4,8,0.514637904468,0.181818181818(0.847457627119),AB(All)
233,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Deviation",5,10,0,0.0(0.888888888889),GP-DP(All)
234,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector",5,32,0.533333333333,0.2(0.866666666667),AB(All)
235,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,Chroma Vector,Chroma Deviation",6,34,0.497126436782,0.166666666667(0.827586206897),AB(All)
236,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs",5,34,0.514637904468,0.181818181818(0.847457627119),AB(All)
237,"Spectral Centroid,Spectral Spread,Spectral Entropy,Spectral Rolloff,MFCCs,Chroma Deviation",6,36,0.597701149425,0.333333333333(0.862068965517),AB(All)
